Intrinsic	Sentence
Yes	The kinetics of lorazepam glucuronide were markedly affected by renal dysfunction. 
No	Abnormal liver function tests have been reported in patients treated with clotrimazole troches; elevated SGOT levels were reported in about 15% of patients in the clinical trials. 
No	Clinical studies of PLASMA-LYTE R Injection (Multiple Electrolytes Injection, Type 2, USP) did not include sufficient numbers of subjects aged 65 and over to determine whether they respond differently from younger subjects. 
Yes	Adjustment of dosage schedules for patients with such decreases in renal function is warranted. 
No	While taking beta blockers, patients with a history of anaphylactic reaction to a variety of allergens may have a more severe reaction on repeated challenge, either accidental, diagnostic or therapeutic. 
No	Individualization of dosage is essential to make optimal use of this medication. 
Yes	If renal impairment exists, even usual oral or parenteral doses may lead to excessive systemic accumulation of the drug and possible liver toxicity. 
No	To date, one patient has been described in whom diclofenac probably triggered a clinical attack of porphyria. 
No	Latent diabetes mellitus may become manifest during thiazide administration. 
No	Caution should therefore be used when administering verapamil to this group of pediatric patients. 
No	For example, severe respiratory reactions and cardiac reactions, including death due to bronchospasm in patients with asthma, and rarely death in association with cardiac failure, have been reported with topical application of beta-adrenergic blocking agents (see CONTRAINDICATIONS). 
No	Physiological daily production is normally 0.5 to 1.0 mcg and is somewhat higher during periods of increased bone synthesis (eg, growth or pregnancy). 
Yes	Pediatric patients may absorb proportionally larger amounts of topical corticosteroids and thus be more susceptible to systemic toxicity. 
Yes	After administration of a single oral metformin hydrochloride 500 mg tablet with food, geometric mean metformin Cmax and AUC differed less than 5% between pediatric type 2 diabetic patients (12 to 16 years of age) and gender- and weight-matched healthy adults (20 to 45 years of age), all with normal renal function. 
Yes	In subjects with decreased renal function (based on measured creatinine clearance), the plasma and blood half-life of metformin is prolonged and the renal clearance is decreased in proportion to the decrease in creatinine clearance (see ; also see ). 
Yes	Conversely, elderly subjects (>75 years old) have a prolonged plasma half-life and a reduced clearance. 
Yes	In view of the biliary and renal routes of excretion of GASTROCROM, consideration should be given to decreasing the dosage of the drug in patients with impaired renal or hepatic function. 
No	In patients with cardiovascular disease, given anesthesia with narcotic and nitrous oxide without a potent inhalational agent, there is increased risk for clinically significant bradycardia. 
Yes	Limited data from controlled pharmacokinetic studies of metformin in healthy elderly subjects suggest that total plasma clearance of metformin is decreased, the half-life is prolonged, and Cmax is increased, compared to healthy young subjects. 
No	Most of the conditions listed below can increase your chance of getting lactic acidosis. 
No	The pharmacokinetics of trovafloxacin have not been fully characterized in pediatric populations less than 18 years of age. 
